name,description,image,important
Adminstrative Department,"1st floor. See map below to locate the main floor (2nd floor) elevators.
To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right. When you exit the elevator, walk straight (around 10m). The Administrative Department will be on your right.",,
Ambulatory Care Medical Clinics,"4th floor. See map below to locate the main floor elevators. To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right.

",,
Acute Medical Clinic (AMC),"Main floor (2nd floor). See map below. To get to AMC from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. Once you pass the registration area, AMC will be on your left, beside the Fracture Clinic.",,
ATM,"Yes, there are 2 ATMs. There is an ATM in the Emergency Waiting Area next to the wall phone. From the North Entrance (beside the Information Desk), turn right immediately and pass through the automatic doors.",,
Capital Planning,"1st floor. See map below to locate the main floor (2nd floor) elevators.To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right. When you exit the elevator, walk straight all the way down the hallway. Capital Planning will be on your left.",,
Cardiac Diagnostics,"Main floor (2nd floor). See map below. To get to Cardiac Diagnostics from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. Then, turn right into the first hallway. Continue going down that hallway. Cardiac Diagnostics will be on your left.",,
Computers and Systems,"1st Floor. See map below to locate the main floor (2nd floor) elevators. To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right. When you exit the elevator, walk straight all the way down the hallway. Computers & Systems will be on your left.

",,
Diabetes Clinic,"3rd floor. See map below to locate the main floor elevators. To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right. When you exit the elevator, turn right.

",,
"Diagnostic Imaging (X-ray, CT, MRI, Ultrasound, Mammogram)","Main floor (2nd floor). See map below. To get to Diagnostic Imaging from the North Entrance (Information Desk), keep walking straight down the main hallway. Then, turn right into the first hallway. If you go all the way down that hallway, you will arrive at Diagnostic Imaging.",,
Educational Services,"1st floor. See map below to locate the main floor (2nd floor) elevators. To get to the elevators from the North Entrance (beside the Information Desk), keep walking straight down the main hallway. The elevators will be on your right.",,
